,Unnamed: 0,barcodeCount,center_x,center_y,fov,leiden,max_x,max_y,min_x,min_y,volume
83190,83190.0,105.0,9263.952027894557,3970.352157779038,1347.0,1.0,9271.73882809654,3980.838958051056,9256.165227692574,3959.8653575070202,999.7354886643924
19450,19450.0,80.0,3056.6234690360725,2227.42120430246,360.0,1.0,3061.332269158215,2233.426004458219,3051.914668913931,2221.416404146701,517.3609458797105
79676,79676.0,301.0,8583.560136567801,6201.658187802881,1277.0,1.0,8592.696936804801,6207.5549879558375,8574.423336330801,6195.7613876499245,861.2724874011931
27745,27745.0,67.0,3727.9127490259702,2742.3911584001034,491.0,1.0,3732.621549148113,2745.0425584688783,3723.203948903829,2739.739758331329,255.53189261651292
36285,36285.0,93.0,4471.545365083963,6916.664398264139,610.0,1.0,4476.362165208906,6921.157198380679,4466.728564959019,6912.171598147601,324.3112965846587
17403,17403.0,104.0,2838.282135568559,3898.187676645816,327.0,1.0,2842.9369356893008,3902.950476769358,2833.627335447818,3893.424876522273,388.10364045408517
33132,33132.0,180.0,4167.322344947606,1412.0168714784086,567.0,1.0,4172.679145086557,1417.5896716229618,4161.965544808656,1406.4440713338556,522.2174858116588
42048,42048.0,128.0,4896.7435600981125,5340.502594377846,688.0,1.0,4900.966360207647,5343.807394463569,4892.520759988576,5337.197794292122,377.65852791221255
61902,61902.0,242.0,6781.563055679202,1112.668936289847,995.0,1.0,6788.26985585317,1118.4037364386022,6774.856255505234,1106.9341361410916,846.3291530259613
58722,58722.0,216.0,6388.72480776906,4250.877767294644,943.0,1.0,6399.967608060689,4255.856567423791,6377.4820074774325,4245.8989671655,776.8892750235507
28609,28609.0,151.0,3846.180137634277,707.4194528833033,501.0,1.0,3850.8349377550185,711.8582529984415,3841.5253375135358,702.9806527681649,365.583138005764
60678,60678.0,126.0,6643.272176250815,4053.073620773852,975.0,1.0,6649.330976407975,4057.728420894593,6637.213376093656,4048.4188206531107,457.0938712331681
34770,34770.0,80.0,4288.035406440496,3209.6767635382707,591.0,1.0,4291.826206538826,3213.8455636464064,4284.244606342167,3205.507963430137,263.65983479817527
7601,7601.0,108.0,1785.0628642626111,2782.1426645480096,180.0,1.0,1791.3916644267738,2787.4994646869604,1778.7340640984476,2776.78586440906,349.1557928335443
71,71.0,237.0,608.6620790660381,3772.5350396558642,26.0,1.0,615.9088792540132,3779.02583982423,601.415278878063,3766.044239487499,1051.2003252542906
7613,7613.0,176.0,1710.1648623198269,2875.6166669726367,180.0,1.0,1716.2236624769864,2884.9154672138397,1704.1060621626675,2866.317866731435,886.7764079242879
2445,2445.0,86.0,1141.4563456773758,2808.966647982597,90.0,1.0,1149.1351458765566,2814.701448131353,1133.777545478195,2803.231847833842,433.2924865583975
38951,38951.0,136.0,4843.762018214911,554.9039772376418,648.0,1.0,4849.01081835106,560.3147773779929,4838.513218078762,549.4931770972908,659.9425057565727
24805,24805.0,117.0,3579.576900348068,1886.2523980103435,446.0,1.0,3585.7437005080287,1892.7971981801093,3573.4101001881068,1879.7075978405771,1027.9323936471942
7702,7702.0,275.0,1732.9237309545279,2596.732467699796,181.0,1.0,1739.1985311172907,2601.009267810732,1726.6489307917655,2592.4556675888603,647.2124154961601
38355,38355.0,173.0,4709.333696238697,1420.3188294582071,637.0,1.0,4715.392496395856,1425.9996296055615,4703.274896081537,1414.6380293108523,707.9882738490967
50039,50039.0,68.0,5533.464446716011,3644.9437832348053,800.0,1.0,5537.471246819942,3647.708583306521,5529.457646612078,3642.178983163089,189.26159013853456
2426,2426.0,83.0,1091.668344385922,2871.3366496004164,90.0,1.0,1094.5951444618404,2876.15344972536,1088.7415443100037,2866.519849475473,276.7538418774675
29644,29644.0,71.0,4087.1282903514793,2901.5356001853943,519.0,1.0,4092.3770904876287,2905.6504002921283,4081.879490215331,2897.4208000786602,322.70743818145354
38081,38081.0,256.0,4631.49031579867,2266.8174486868083,633.0,1.0,4638.467115979642,2273.3622488565743,4624.5135156176975,2260.2726485170424,1012.7721088607076
63506,63506.0,280.0,6760.600206028671,5380.436942148954,1016.0,1.0,6768.22500622645,5388.169742349535,6752.97540583089,5372.704141948372,1109.9592446225934
21909,21909.0,207.0,3212.5452685393398,5381.618450552225,397.0,1.0,3219.9540687315166,5388.001250717789,3205.136468347162,5375.23565038666,821.9467261610469
58832,58832.0,262.0,6406.039300642908,4658.192396312952,945.0,1.0,6412.962100822479,4664.89919648692,6399.116500463338,4651.485596138984,749.1196223829132
72480,72480.0,68.0,7809.50145419687,6958.078296270222,1160.0,1.0,7815.776254359633,6967.7550965212295,7803.226654034108,6948.4014960192135,347.52901466915023
39012,39012.0,73.0,4839.256627596916,797.5983845479786,649.0,1.0,4843.263427700847,801.6591846533121,4835.249827492982,793.5375844426453,173.39954075564125
64029,64029.0,57.0,6785.718828499316,6748.984823759645,1023.0,1.0,6789.72562860325,6756.501623954624,6781.712028395385,6741.468023564666,356.33650152606583
54565,54565.0,161.0,6035.962125957011,5029.279278576374,877.0,1.0,6040.616926077752,5034.2580787055185,6031.307325836271,5024.300478447229,537.2605473920642
41435,41435.0,286.0,4930.919522792101,6891.737080972642,680.0,1.0,4936.546322938055,6898.173881139605,4925.292722646147,6885.300280805677,777.1919558392539
5793,5793.0,57.0,1551.5323345847428,3635.7757948115473,149.0,1.0,1555.3771346844733,3639.458594907075,1547.6875344850125,3632.0929947160175,232.82663239860665
53019,53019.0,147.0,5912.521723218261,1160.843402866274,849.0,1.0,5918.2565233670175,1165.7682029940188,5906.786923069507,1155.9186027385294,616.5629211061217
64867,64867.0,137.0,6963.627217691392,5048.120860509574,1038.0,1.0,6968.3360178135335,5052.34366061911,6958.918417569251,5043.898060400039,486.53614156057785
83157,83157.0,85.0,9127.314289856702,3777.1812771409745,1346.0,1.0,9130.619089942424,3782.700077284128,9124.00948977098,3771.662476997823,264.14132474315375
12911,12911.0,190.0,2382.946539629251,2452.7306896187365,259.0,1.0,2390.571339827031,2457.655489746481,2375.32173943147,2447.8058894909923,776.5446038056701
17746,17746.0,54.0,2672.471846781671,4928.213859587908,333.0,1.0,2678.638646941632,4935.8926597870895,2666.30504662171,4920.535059388727,758.0235122048308
36991,36991.0,165.0,4565.356440864503,5335.971289779991,618.0,1.0,4570.119240988046,5341.544089924544,4560.593640740962,5330.398489635439,587.3061083883335
52588,52588.0,126.0,5802.405720971525,2063.632729254663,844.0,1.0,5808.356521125883,2068.287529375404,5796.454920817167,2058.9779291339223,460.1645943524716
4748,4748.0,264.0,1364.1447130441666,2121.2258527278896,128.0,1.0,1370.959513220936,2126.9606528766453,1357.329912867397,2115.4910525791347,810.5008423672565
72948,72948.0,275.0,7807.957387063652,5796.3145435489705,1166.0,1.0,7814.286187227815,5801.8873436935255,7801.628586899488,5790.741743404417,741.890274807869
58590,58590.0,237.0,6383.606881622225,3826.8190655484796,941.0,1.0,6389.179681766778,3833.3098657168453,6378.034081477672,3820.3282653801134,674.6881353215488
38487,38487.0,145.0,4703.941949881613,1222.8818461634219,638.0,1.0,4708.27274999395,1228.8866463191807,4699.611149769276,1216.877046007663,418.8633596498407
21821,21821.0,84.0,3077.955602705479,5072.194324065,395.0,1.0,3081.422402795404,5076.471124175936,3074.488802615553,5067.917523954064,182.44864738509173
27426,27426.0,119.0,3790.790171284229,3875.672945085913,485.0,1.0,3796.2549714259794,3881.4617452360685,3785.325371142477,3869.884144935757,523.6714034870851
30722,30722.0,233.0,3921.7391023449604,5956.7787713278085,535.0,1.0,3926.987902481109,5965.802171561866,3916.490302208811,5947.75537109375,762.1795997404407
67499,67499.0,131.0,7108.511536307633,4679.771826162934,1080.0,1.0,7113.382336433977,4686.2626263313,7103.640736181289,4673.281025994569,440.1281741130201
