x,y
2428.7465982320273,481.5687768977152
2430.6781902607927,455.7791075213218
2459.276291438532,506.8471617689932
2453.348995275597,497.34664789994514
2464.490166423883,507.60244457616903
2443.8886611942953,504.9226471549961
2453.226695540592,502.7710244737228
2454.088351262698,530.3553136597147
2454.575584120079,550.9306527282131
2468.0675115723056,539.263976444619
2480.0205200775354,553.2519534791165
2470.0415202639674,610.500730927553
2479.9487331663554,608.9382492190515
2482.9219258036105,640.0518907742005
2475.197958577203,608.669864087949
2477.127515915188,601.0319661296345
2489.077924528505,605.9077537319581
2484.401910406972,621.4482647221867
2484.6648214352317,606.2543968366393
2491.4232863309103,631.0033449253442
2472.240246960847,598.2614571118254
2478.154819054629,606.6435724124461
2493.0017586770136,644.1246823111532
2488.976996583709,681.3731611309623
2502.722941985309,655.9518653935437
2495.221565502672,640.0791531373553
2482.871363790626,671.5830017046375
2498.8028215942777,738.7673850901174
2528.760249095408,727.5584329944323
2520.841818744996,776.3556084227803
2510.807313731662,745.0515023528753
2530.2873194093745,778.2263331846079
2513.2062850888383,767.826270649332
2535.175371744283,821.5372316923754
2537.716224222336,804.4947108094519
2537.447702467419,839.2480452627709
2543.242071438554,849.8956694855469
2532.071145039362,974.0186541317643
2522.223372516455,978.8101184174369
2520.4149739638165,985.767528892532
2529.114136694571,938.4746071071872
2511.483427745284,940.0790018647125
2533.298916113921,910.5595396697645
2533.8531265309844,877.9975841469644
2525.292588324444,883.0838384813773
2507.7311889774915,875.9580828024837
2492.0169643210274,869.0008177684447
2520.000608552427,885.9886501137617
2520.9305422687207,843.3973741493186
2514.839424899964,805.5605230928237
2484.4423569252763,808.4792395446675
2474.509190920126,849.7487484334532
2492.1577053918163,833.5192290946919
2472.1611723281203,803.4896615245689
2481.40616563196,771.0796531114863
2477.6325152223,759.8133788013301
2484.7491073762158,749.1231879104909
2468.48478940231,796.6528766884876
2452.948525655633,753.1258235205327
2487.520390440559,750.1577792476671
2448.623443047,709.6613326493616
2452.324435662348,751.4760735003825
2463.8931338199022,715.7519274191804
2483.071008262481,709.1255064763247
2446.2227006450407,694.6120608450864
2439.9271558481687,673.9713171153811
2437.843726128516,698.7749023222607
2426.5768595067425,691.7298706865796
2453.911898076943,667.9300181117834
2427.8988182375383,614.4025216040783
2423.3620670517234,644.9840158609346
2424.2571420680224,650.9951807241064
2449.1280049879933,607.9270717214721
2421.6833470783613,611.8884462572337
2444.6240188179286,643.7059683071052
2426.230783769625,602.9264475304442
2463.037983947613,640.6500363004891
2444.9091702892574,620.2153282551362
2408.6108150027735,574.7333381903028
2396.6251006470793,572.5319098340342
2405.2062168194775,563.010064754747
2428.4391315606877,541.7976362772473
2432.1205740783466,556.7268203940234
