,Unnamed: 0,barcodeCount,center_x,center_y,fov,leiden,max_x,max_y,min_x,min_y,volume
49720,49720.0,154.0,5621.6776634044945,2876.1416162885725,796.0,1.0,5626.386463526635,2882.470416452736,5616.968863282354,2869.812816124409,481.0731902371703
65681,65681.0,98.0,7086.494523912668,2271.9128831215203,1052.0,1.0,7091.257324036211,2275.217683207244,7081.731723789126,2268.6080830357973,187.28751635612332
20603,20603.0,158.0,3133.585424344987,1355.3438821956515,377.0,1.0,3139.266224492341,1360.3226823247971,3127.9046241976316,1350.3650820665061,436.6646657733396
58943,58943.0,172.0,6374.632139902562,5134.564308382571,947.0,1.0,6380.960940066725,5139.86710852012,6368.303339738399,5129.261508245021,538.3316525676314
19358,19358.0,187.0,3007.528837144375,2656.3951210044324,358.0,1.0,3014.667637329549,2666.0719212554395,3000.390036959201,2646.718320753425,1048.0335490900047
52402,52402.0,366.0,5801.369268171489,2641.8884903080757,841.0,1.0,5809.480068381877,2649.5132905058567,5793.258467961104,2634.263690110296,1248.927880312024
40273,40273.0,79.0,4715.071610800922,4282.294058009982,666.0,1.0,4718.646410893649,4287.2728581391275,4711.496810708195,4277.315257880837,272.1471448384806
62999,62999.0,112.0,6783.280158918351,3919.393411494792,1009.0,1.0,6788.2049590460965,3923.83221160993,6778.355358790605,3914.9546113796528,267.3500913096186
7367,7367.0,117.0,1669.7911975681782,3376.0746818333864,177.0,1.0,1674.121997680515,3382.781482007355,1665.4603974558413,3369.3678816594183,531.3066582831877
10482,10482.0,126.0,2164.1104530356824,5392.174158338457,224.0,1.0,2168.8192531578243,5396.558958452195,2159.4016529135406,5387.789358224721,438.09496384754084
48219,48219.0,164.0,5464.070062361658,1790.530897539109,774.0,1.0,5468.7248624824,1797.1836977116766,5459.4152622409165,1783.8780973665414,595.1530647954193
35729,35729.0,326.0,4415.3973134458065,5635.9842091575265,603.0,1.0,4422.752113636583,5646.2550094239405,4408.04251325503,5625.713408891112,1192.512025385276
10127,10127.0,160.0,1981.2318640239534,5979.392771318555,218.0,1.0,1985.9406641460955,5985.343571472913,1976.523063901812,5973.441971164197,637.6963406024839
